Date,PClose,Open,High,Low,Close
2019-01-01,152.6,153.4,154.05,151.75,153.15
2019-01-02,153.15,153.2,154.35,149.6,150.5
2019-01-03,150.5,150.55,151.25,144.8,145.4
2019-01-04,145.4,145.4,146.75,142.2,144.4
2019-01-07,144.4,146.25,148.75,145.25,145.7
2019-01-08,145.7,146.4,148.8,144.8,148.3
2019-01-09,148.3,149.1,150.05,142.65,144.65
2019-01-10,144.65,144.65,146.0,143.25,144.3
2019-01-11,144.3,144.5,145.0,139.6,141.5
2019-01-14,141.5,140.95,140.95,135.0,136.25
2019-01-15,136.25,137.0,142.0,136.75,141.05
2019-01-16,141.05,141.85,144.2,141.2,141.85
2019-01-17,141.85,142.5,144.15,140.25,141.3
2019-01-18,141.3,142.2,142.2,138.35,140.65
2019-01-21,140.65,140.95,141.9,137.8,140.15
2019-01-22,140.15,138.7,140.95,135.2,137.0
2019-01-23,137.0,137.0,138.35,135.5,136.6
2019-01-24,136.6,137.0,138.15,135.65,137.5
2019-01-25,137.5,138.3,138.7,132.8,134.65
2019-01-28,134.65,133.7,134.8,124.45,128.45
2019-01-29,128.45,128.0,132.2,127.15,131.0
2019-01-30,131.0,132.05,133.45,129.25,132.7
2019-01-31,132.7,133.4,133.9,128.25,131.45
2019-02-01,131.45,132.0,134.45,128.05,130.3
2019-02-04,130.3,130.0,130.15,126.0,127.55
2019-02-05,127.55,127.65,129.8,125.2,126.4
2019-02-06,126.4,127.0,129.45,125.7,128.6
2019-02-07,128.6,128.35,137.05,128.05,135.5
2019-02-08,135.5,133.65,134.3,128.1,128.85
2019-02-11,128.85,129.0,129.0,123.8,125.65
2019-02-12,125.65,125.85,128.0,124.65,125.55
2019-02-13,125.55,126.1,126.9,122.7,123.1
2019-02-14,123.1,123.0,127.8,120.1,127.3
2019-02-15,127.3,126.0,127.8,123.05,125.7
2019-02-18,125.7,125.7,127.2,121.5,121.9
2019-02-19,121.9,122.15,125.55,121.9,122.3
2019-02-20,122.3,123.55,124.65,122.55,124.2
2019-02-21,124.2,124.2,127.75,123.8,127.15
2019-02-22,127.15,127.15,129.0,125.75,126.5
2019-02-25,126.5,126.85,127.95,125.3,126.5
2019-02-26,126.5,124.3,126.25,121.65,123.85
2019-02-27,123.85,125.0,127.15,122.6,124.1
2019-02-28,124.1,124.0,124.95,123.35,124.2
2019-03-01,124.2,125.0,128.7,124.5,128.0
2019-03-05,128.0,128.0,136.15,127.5,135.3
2019-03-06,135.3,136.95,142.95,136.9,141.05
2019-03-07,141.05,141.8,141.8,138.75,140.75
2019-03-08,140.75,140.1,143.4,139.75,141.85
2019-03-11,141.85,142.6,146.0,141.95,144.7
2019-03-12,144.7,146.5,148.85,145.65,147.25
2019-03-13,147.25,147.25,147.35,144.4,145.1
2019-03-14,145.1,145.1,146.65,142.8,143.4
2019-03-15,143.4,144.2,149.0,143.6,146.65
2019-03-18,146.65,147.55,150.3,146.5,148.8
2019-03-19,148.8,149.45,149.45,145.5,146.85
2019-03-20,146.85,145.95,147.6,143.85,145.8
2019-03-22,145.8,146.0,148.8,144.6,146.0
2019-03-25,146.0,145.4,145.4,142.35,144.2
2019-03-26,144.2,144.3,148.6,144.3,147.45
2019-03-27,147.45,148.9,152.9,148.0,151.5
2019-03-28,151.5,154.95,155.15,151.65,153.6
2019-03-29,153.6,153.05,153.6,150.5,152.55
2019-04-01,152.55,153.1,154.55,151.3,152.15
2019-04-02,152.15,151.7,153.0,149.4,150.7
2019-04-03,150.7,151.7,155.9,151.4,152.1
2019-04-04,152.1,152.75,152.8,148.8,149.45
2019-04-05,149.45,149.15,152.35,148.35,151.95
2019-04-08,151.95,152.3,153.4,147.5,148.8
2019-04-09,148.8,149.4,149.4,145.1,147.95
2019-04-10,147.95,148.45,149.45,144.0,145.15
2019-04-11,145.15,145.55,147.25,144.45,146.75
2019-04-12,146.75,147.0,148.1,145.75,147.0
2019-04-15,147.0,147.0,151.7,146.8,150.85
2019-04-16,150.85,151.85,152.15,149.1,149.55
2019-04-18,149.55,149.65,150.95,145.75,146.55
2019-04-22,146.55,145.05,146.7,140.2,140.75
2019-04-23,140.75,140.4,142.15,137.85,139.2
2019-04-24,139.2,139.25,140.8,138.2,139.6
2019-04-25,139.6,140.25,140.8,136.6,137.05
2019-04-26,137.05,137.4,138.85,136.45,137.9
2019-04-30,137.9,135.7,135.75,129.5,131.1
2019-05-02,131.1,131.0,133.95,129.2,130.6
2019-05-03,130.6,129.1,131.7,126.1,127.15
2019-05-06,127.15,126.35,127.8,123.05,123.65
2019-05-07,123.65,124.75,125.25,122.25,122.45
2019-05-08,122.45,122.35,123.05,118.5,118.75
2019-05-09,118.75,118.75,122.35,118.4,120.75
2019-05-10,120.75,120.5,122.95,119.6,120.75
2019-05-13,120.75,120.5,120.85,114.1,115.0
2019-05-14,115.0,115.2,119.9,113.85,118.45
2019-05-15,118.45,118.45,119.8,115.5,116.3
2019-05-16,116.3,117.0,117.5,114.25,116.15
2019-05-17,116.15,116.15,118.0,115.8,117.2
2019-05-20,117.2,123.0,127.05,121.4,126.05
2019-05-21,126.05,127.0,130.3,123.5,124.85
2019-05-22,124.85,124.95,125.4,120.3,123.05
2019-05-23,123.05,125.0,128.8,122.55,123.5
2019-05-24,123.5,124.95,128.95,124.65,128.1
2019-05-27,128.1,129.45,130.15,127.35,127.85
2019-05-28,127.85,128.9,131.7,127.75,130.75
2019-05-29,130.75,130.85,134.2,129.5,132.8
2019-05-30,132.8,133.0,133.85,130.8,131.9
2019-05-31,131.9,132.6,137.15,131.45,134.05
2019-06-03,134.05,134.1,136.65,132.5,136.2
2019-06-04,136.2,135.5,137.85,135.25,136.4
2019-06-06,136.4,135.0,135.0,126.1,126.6
2019-06-07,126.6,127.0,129.65,124.05,124.95
2019-06-10,124.95,126.0,127.1,123.3,124.1
2019-06-11,124.1,124.0,125.8,121.85,124.9
